,Post Date,Link,Posts,Number of comments,Number of likes,Image Link,Video(True or False),Interactions,Hashtags,Username,Name,Category,Total Posts,Followers,Following
10,2023 Jul 14 21:12:45,https://www.instagram.com/p/CusGbTbMF9l/,"✨@DELOLA GIVEAWAY TIME!✨ There are only TWO of these Delola Bling cups in the world, one for me and one for…one of you!! Who wants it??  HOW TO ENTER TO WIN 💙 💙 Follow @Delola💙 Like this post! 💙 Tag a friend in the comments   Enter as many times as you’d like! Each comment counts as an entry! You can only tag ONE person per entry/comment. 1 winner will be selected. Must be following @Delola to be eligible. Must be 21+. Rules in bio.",43214,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/360116322_214605037773501_1204585054935661236_n.jpg?stp=c0.190.490.490a_dst-jpg_e15&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=XH0mI6vqgMMAX-8Ot0A&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAdpgLphEf2gwIeiaUIOd9fbCW_5iL7sm9HgHzEeaeQVg&oe=64DDFEEF&_nc_sid=bc0c2c,True,43213,,jlo,Jennifer Lopez,Artist,752,250638167,1342
11,2023 Jul 08 03:32:16,https://www.instagram.com/p/CuawV2-R_b5/,Feliz Fin de Semana 🧡,6624,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/358362026_18399364075037720_6402775526011912851_n.jpg?stp=c0.170.1362.1362a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=lToNTtq_lHYAX-X_PZ6&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAST9nRSCoshxlAGIMAwUdomMfmnbhJ2dBjAdwp7zG25Q&oe=64E12DC1&_nc_sid=bc0c2c,False,6623,,jlo,Jennifer Lopez,Artist,752,250638167,1342
12,2023 Jul 06 17:14:50,https://www.instagram.com/p/CuXEGqqg2At/,I’m stunting a makeup-free @JLoBeauty glow for the Hamptons 🤩✨,3115,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/358530656_176113151961346_4350481586549988695_n.jpg?stp=dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DlCMFixt7voAX_k-CXg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAdckNCvgAk5bSkfMvbJk8x_hnJgJVoZD8eJBLXxAOicQ&oe=64DE0C74&_nc_sid=bc0c2c,True,3114,,jlo,Jennifer Lopez,Artist,752,250638167,1342
13,2023 Jul 05 06:18:15,https://www.instagram.com/p/CuTU85frRHl/,"Hope everyone had a great holiday weekend filled with love, family, friends and fun 🤍☀️🎆",17122,1912613,https://instagram.fsvg1-1.fna.fbcdn.net/v/t39.30808-6/357693798_18398766760037720_5787904347078447717_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=q75nTJS6WPQAX_h9gAy&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfB7wuf2QwtCDxDrp_ScdaZtVBO0KeWFxF_lBGUvnT-gLg&oe=64E08FD7&_nc_sid=bc0c2c,False,1929735,,jlo,Jennifer Lopez,Artist,752,250638167,1342
14,2023 Jul 04 03:41:08,https://www.instagram.com/p/CuQd72ixx8s/,@Delola surprise pop-in at Sag Harbor Liquor Store! ✨ Get some before it’s gone for your July 4 BBQ’s … and share your party pics with me using #DelolaLife!!! ❤️🤍💙,11021,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/357534970_6798367433528690_2432387640361485932_n.jpg?stp=c0.456.1174.1174a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=rnNiG5IpR-oAX9QnWKn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBA74_H6LpOYUdfxXiA4SMH0kmc1LSf_0cufBQRXvNjdA&oe=64DE68F6&_nc_sid=bc0c2c,True,11020,DelolaLife,jlo,Jennifer Lopez,Artist,752,250638167,1342
15,2023 Jul 01 00:56:33,https://www.instagram.com/p/CuIc3_7sCPZ/,@Delola weekend!! 🩵🩵 #DelolaLife,2472,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/357153040_806782131020167_2982388104850998577_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WQJTra01xKsAX81bmDy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDpGJeFftIRsHLkzci0IaJWcGOnoEEj3AdhV-omaAhODw&oe=64DDF96F&_nc_sid=bc0c2c,True,2471,DelolaLife,jlo,Jennifer Lopez,Artist,752,250638167,1342
16,2023 Jun 30 04:29:44,https://www.instagram.com/p/CuGQTMVgPQ2/,Birthday. Anniversary. Because you just want to live in the NOW 🎉 Let me personally invite your friends to celebrate at sea. Create a customized message using the @VirginVoyages next Jen(eration) AI tool (link in bio). 🎥 @davemeyers 📸 @lacarba,5136,345685,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/356796490_544561047719903_6031904687519460268_n.jpg?stp=c0.875.2250.2250a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=cfnr_MXTu5YAX9rOO3r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCfEeGt-atCxaf3UYppX24Pir1t7uaue-AbxhrNjBJoiQ&oe=64DE586C&_nc_sid=bc0c2c,True,350821,,jlo,Jennifer Lopez,Artist,752,250638167,1342
17,2023 Jun 29 07:44:12,https://www.instagram.com/p/CuECBKjurn2/,Album delivery day ✨ #THISISMENOW📸 @robins_robin,2569,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/356613568_639562444771128_8237312141454334469_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=XQ3InRR-H3wAX-YKd9t&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAyIaZQFE17hd5DJLemQImRvXtjIYUohz9_ZHAnnZFakw&oe=64E0C5F4&_nc_sid=bc0c2c,False,2568,THISISMENOW,jlo,Jennifer Lopez,Artist,752,250638167,1342
18,2023 Jun 22 18:00:07,https://www.instagram.com/p/CtzG8JARnhI/,"Esta Soy Yo … Ahora ✨ This Is Me … Now@VogueMexico @Vogue @jlobeauty Fotografía: @normanjeanroyRealización: @karlamartinezdesalasEntrevista: @sofyagostiniPeinado: @hairbylorenzomartinMaquillaje: @ash_kholmAsistentes de fotografía: @joannajeanroy, Tim Young y Alexei TopounovAsistentes de moda: @majogonzalvez y @angelemmanuelProducción: @michaelaevap, @cas.doy y @bennettmelley/@thecanvasagencyDiseño de set: @ecmagidson y @henrique_cirilo/@wayoutstudiocoSastre: @carol_ai_studioDirector de entretenimiento: @sergiokletnoyAgradecimientos especiales a @robzangardi y @marielhaenn nails @tombachik",4841,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/355203966_769380601391709_3516151537274165238_n.jpg?stp=c0.177.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=u34nznKkc4EAX8FkeTb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAdx6__j7zNrNqL-JMXiNNxJB_fI2lXFfisTaQDq9rMnQ&oe=64E240CD&_nc_sid=bc0c2c,False,4840,,jlo,Jennifer Lopez,Artist,752,250638167,1342
19,2023 Jun 19 19:17:08,https://www.instagram.com/p/CtrhNIzp8nr/,@Delola Dads for the win! ✨ We hope everyone had a great Father’s Day! #DelolaLife,2207,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/354501708_624357056296181_5265503727261575893_n.jpg?stp=c0.242.619.619a_dst-jpg_e15&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=T3F1C3IML5IAX9YIdF6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBfOr0ydcAX25VEW45RPw1WeEhAoP0z0UseSz8kIkHo8Q&oe=64DE7154&_nc_sid=bc0c2c,True,2206,DelolaLife,jlo,Jennifer Lopez,Artist,752,250638167,1342
